Season,Daynum,team1,team2,Wloc,Numot,score_diff,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,WorL
2003,19,1119,1181,H,0,0.470588235,0.266666667,0.144927536,0.714285714,0.631578947,0.709677419,0.717391304,0.5,0.033333333,0.277777778,-0.866666667,0.5,0.714285714,-1.214285714,0
2003,21,1172,1181,H,0,0.15625,0.032258065,0.044117647,-0.285714286,-0.15,0.5,0.512820513,0.411764706,0.133333333,0.05,-0.136363636,0,0.636363636,-0.380952381,0
2003,26,1181,1417,N,0,0.129411765,0.212121212,0.016666667,0.3,0.363636364,-0.5,-0.333333333,-0.416666667,0,0.333333333,-0.153846154,0.125,0,0.045454545,1
2003,29,1181,1326,N,0,0.163043478,0.142857143,0,0.181818182,0.208333333,0.178571429,0.277777778,-0.071428571,0.2,0.411764706,-0.285714286,0.222222222,0.2,-0.173913043,1
2003,33,1181,1276,H,0,0.268292683,0.233333333,0.161290323,-0.5,0.210526316,0.476190476,0.424242424,0.352941176,0.08,0.076923077,-0.857142857,0.733333333,0.333333333,-0.166666667,1
2003,43,1181,1299,N,0,0.369565217,0.142857143,0.152777778,-0.4,0.181818182,0.823529412,0.717391304,0.344827586,0,0,-1.066666667,0.4375,0.333333333,-0.666666667,1
2003,55,1173,1181,H,0,0.127906977,0,-0.340425532,0.125,-0.857142857,0.4,0.342105263,-0.666666667,0.260869565,0.368421053,0.210526316,-0.333333333,0.5,-0.173913043,0
2003,59,1181,1193,H,0,0.32183908,0.178571429,0.142857143,0.75,0.545454545,0.461538462,0.4,0.266666667,0.0625,0.222222222,-0.846153846,0.583333333,0.833333333,-0.086956522,1
2003,62,1155,1181,A,0,0.2,0.107142857,-0.113207547,0.833333333,0.541666667,0.08,0.0625,-0.727272727,-0.105263158,0.368421053,-0.2,0.545454545,0.5,0,0
2003,65,1181,1207,H,0,0.074468085,0,-0.166666667,0.166666667,-0.058823529,0.285714286,0.378378378,-0.076923077,0.264705882,0.133333333,-0.058823529,-0.125,-0.428571429,-0.083333333,1
2003,69,1181,1448,H,0,0.253333333,0.178571429,-0.120689655,0.545454545,0.095238095,0.272727273,0.1875,-1.222222222,-0.125,0.578947368,-0.461538462,0,0,0,1
2003,72,1181,1438,H,0,0.104761905,-0.066666667,-0.050847458,0.5,0.0625,0.263157895,0.024390244,-0.5,0.12,0.111111111,-0.25,-0.4,0,-0.222222222,1
2003,75,1181,1268,H,0,0.170454545,-0.074074074,-0.175438596,-0.142857143,-0.4375,0.666666667,0.34375,-0.076923077,0.375,0.444444444,0.058823529,0.2,0.428571429,-0.368421053,0
2003,79,1181,1301,H,0,0.111111111,0.125,-0.14893617,0.1,-0.227272727,0.076923077,0.114285714,-0.875,0.090909091,0.176470588,-0.066666667,-0.142857143,0.5,-0.409090909,0
2003,82,1181,1210,H,0,0.217391304,0.3125,0.112903226,0.5,0.214285714,-0.12,-0.117647059,0.125,0.37037037,0.5,-0.230769231,0.25,-0.125,-0.037037037,1
2003,87,1139,1181,H,0,0.24691358,0.206896552,-0.092592593,-0.666666667,-0.6875,0.6,0.5,0.230769231,0.517241379,0.272727273,0.266666667,-0.571428571,0.5,-0.818181818,0
2003,90,1181,1199,H,0,0.065789474,0.161290323,-0.431372549,-2.25,-3.75,0.307692308,0.318181818,-1.111111111,0.419354839,-0.285714286,0.277777778,-0.714285714,0.6,-0.1,0
2003,93,1181,1314,H,0,0.107142857,0.034482759,0.046153846,0,0.153846154,0.388888889,0.130434783,0.277777778,0.222222222,-0.071428571,0.117647059,0.416666667,-0.2,0.045454545,1
2003,97,1155,1181,H,0,0.151515152,0.090909091,0.206349206,0,0.64,0.315789474,0.413793103,0.428571429,-0.304347826,0.230769231,-0.588235294,0.25,0,-0.368421053,0
2003,101,1181,1448,H,2,0.147368421,0.25,-0.213114754,-0.75,-1.909090909,0.033333333,0.05,-0.25,0.472222222,0.6875,0.32,-2,0.166666667,-0.357142857,0
2003,103,1181,1438,A,0,0.240506329,0.193548387,0.102941176,0.166666667,-0.176470588,0.428571429,0.375,0.285714286,0.096774194,0,-0.307692308,0.375,0.285714286,-0.277777778,1
2003,107,1181,1268,H,0,0.065789474,0.172413793,0.144927536,0.125,0.304347826,-0.461538462,-0.15,0.315789474,0,-0.384615385,-0.083333333,-0.8,0.571428571,0.045454545,1
2003,110,1181,1301,H,0,0.1375,0.035714286,0.189655172,0.5,0.153846154,0.304347826,0.366666667,0.2,-0.466666667,0,-0.923076923,0.428571429,0.333333333,-0.19047619,1
2003,114,1181,1210,A,0,0.243589744,0.258064516,-0.054545455,0.75,0.555555556,-0.857142857,-0.142857143,-0.1,0.25,0.222222222,0.235294118,0.142857143,0.333333333,0,1
