,index,Season,Daynum,team1,team2,Wloc,Numot,score_diff,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,ELO,WorL,AdjustO_Diff,AdjustD_Diff,# of Wins_Diff,SOS_DIF,LUCK_DIF,Years Since 2016,Tournament Game
0,2003019,2003,19,1119,1181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,-28.8,19.6,-21,-16.37,0.057,3,0
1,2003021,2003,21,1172,1181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0,0,-11.9,9.4,-10,-12.39,0.036000000000000004,3,0
2,2003026,2003,26,1181,1417,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519.71225631668,1,7.8,-10.1,14,-0.09,0.034,3,0
3,2003029,2003,29,1181,1326,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.8673697795948,1,12.1,-2.4,7,-0.52,-0.083,3,0
4,2003033,2003,33,1181,1276,0,0,0.13995449,0.11515617,-0.015437339,0.07777777799999999,0.170665635,0.174603175,0.028878529,-0.081986641,0.187777778,0.243534244,-0.223753501,0.13968254,0.033333333,0.053333333,1538.0377083091355,1,6.8,-6.0,7,1.35,-0.054000000000000006,3,0
5,2003043,2003,43,1181,1299,2,0,0.368583534,0.274470899,0.072089947,0.136507937,0.281194296,0.496732026,0.370082816,0.15859332199999998,0.202298851,0.504022989,-0.575,0.339733115,0.652236652,-0.30787037,1545.6321859539926,1,31.0,-26.9,23,20.51,-0.016,3,0
6,2003055,2003,55,1173,1181,0,0,0.147593465,0.06944444400000001,-0.146808511,0.157828283,-0.35214785200000004,0.289409142,0.210459098,-0.7929292929999999,0.055797101,0.22537112,-0.391945774,0.175925926,0.6,-0.124637681,1553.2690607496,0,1.8,10.8,0,-3.68,0.115,3,0
7,2003059,2003,59,1181,1193,0,0,0.243356068,0.201904762,0.089285714,0.531481481,0.308179838,0.07977208,-0.097435897,0.088888889,0.064393939,0.361111111,-0.329436903,0.232539683,0.161111111,-0.152514919,1563.0359642062124,1,16.0,-6.5,5,10.75,-0.11199999999999999,3,0
8,2003062,2003,62,1155,1181,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.5326009307184,0,-8.0,9.7,-9,-3.29,0.055999999999999994,3,0
9,2003065,2003,65,1181,1207,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581.7414177648325,1,8.6,-0.1,9,2.1,0.071,3,0
